hotel_name,description,city,hotel_score,url_hotel,lat,lon
Hôtel Vert,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Vert ! L’Hotel Vert vous propose des chambres décorées dans des tons pastel, dotées d’une salle de bains privative, d’une télévision ainsi que d’une connexion Wi-Fi gratuite. Il vous accueille à 2 km de l’île intertidale du Mont Saint-Michel, sur la côte normande.Lors de votre séjour, vous pourrez déguster une cuisine régionale au restaurant du Vert, La salicorne. Vous pourrez également apprécier le bar de l'hôtel, L'Equinoxe, qui s'ouvre sur une terrasse privée.Le Vert Hotel met également à votre disposition une réception ouverte 24h/24 ainsi qu’un parking privé. Vous bénéficierez aussi d’un supermarché et d’une boutique de souvenirs sur place. ",Rouen,"8,0",https://www.booking.com/hotel/fr/vert.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARokQKIAQGYAQ24ARjIAQXYAQHoAQH4AQaIAgGoAgS4AsbhwKEGwAIB0gIkNDE5MjIyZjMtZTdhOC00NzM3LTlmYTEtZGJlOWYyZDIwYTI32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3d7669e3e3eb01a3&srepoch=1680879816&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,48.61470049,-1.5096169700000002
Chambres d'Hôtes Les Vieilles Digues,"Occupant une maison bretonne restaurée, l'établissement à la gestion familiale Chambres d'Hôtes Les Vieilles Digues est situé à Beauvoir, à 3 km du Mont-Saint-Michel. Doté d'un parc fleuri de 3 000 m², il propose des chambres pourvues de meubles d'époque, d'une connexion Wi-Fi gratiote et d'une salle de bains privative.Toutes les chambres élégantes des Vieilles Digues disposent d'une entrée privée et d'articles de toilette gratuits. Celles du rez-de-chaussée comprennent des portes-fenêtres avec accès direct au patio, doté de chaises longues.Le petit-déjeuner comprend des boissons chaudes, du jus d'orange, des yaourts, du fromage et des céréales. En outre, des baguettes fraîches sont livrées tous les jours par le boulanger local. Les propriétaires sont à votre disposition pour vous recommander de bons restaurants à proximité.Vous pourrez vous promener le long de la rivière Le Couesnon, qui se trouve à 200 mètres des Vieilles Digues. Les villes de Saint-Malo et Cancale sont accessibles en 45 minutes de route, tandis qu la gare de Pontorson est à 5 km. Un parking privé est disponible gratuitement sur place. ",St Malo,"9,3",https://www.booking.com/hotel/fr/chambres-d-ha-tes-les-vieilles-digues.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARokQKIAQGYAQ24ARjIAQXYAQHoAQH4AQaIAgGoAgS4AsbhwKEGwAIB0gIkODA0ZTFmYTctYTQ4Ny00NDJjLWE5OTUtYTMxNjg5MTY2OTUy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=4ef769e32dfa08e2&srepoch=1680879815&from=searchresults#hotelTmpl,48.6041875,-1.51159912
Gites les 2 Clos au pied du Mont,"L'établissement Gites les 2 Clos au pied du Mont propose des hébergements à Ardevon.Toutes les maisons de vacances disposent d'une salle de bains privative, d'une télévision à écran plat, d'une cuisine entièrement équipée et d'une terrasse. Vous pourrez profiter d'une terrasse avec vue sur la mer.Une plancha est fournie.Vous séjournerez à 3,1 km du Mont-Saint-Michel et à 39 km de Saint-Malo. L'aéroport de Saint-Malo-Dinard-Pleurtuit, le plus proche, est implanté à 44 km. ",St Malo,"9,0",https://www.booking.com/hotel/fr/les-deux-clos-pontorson.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARokQKIAQGYAQ24ARjIAQXYAQHoAQH4AQaIAgGoAgS4AsbhwKEGwAIB0gIkODA0ZTFmYTctYTQ4Ny00NDJjLWE5OTUtYTMxNjg5MTY2OTUy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=4ef769e32dfa08e2&srepoch=1680879815&from=searchresults#hotelTmpl,48.6139661,-1.48579173
Gites Bellevue,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Gites Bellevue ! Situé à seulement 2 km du célèbre Mont-Saint-Michel, l'établissement Gites Bellevue vous propose des gîtes indépendants avec terrasse, jardin et barbecue. La mer se trouve à seulement 10 minutes en voiture.Les gîtes présentent une vue sur le Mont Saint-Michel, un coin salon avec une télévision ainsi qu'un lave-linge. Leur cuisine est équipée d'un four, d'un four micro-ondes et d'une cuisinière.Les épiceries et restaurants sont placés à 7 km du centre-ville de Pontorson et vous pourrez utiliser gratuitement une connexion Wi-Fi et un parking privé. Vous pourrez rejoindre Saint-Malo en 45 minutes en voiture et Avranches se trouve à 25 km de l'établissement. ",St Malo,"9,3",https://www.booking.com/hotel/fr/gites-bellevue.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARokQKIAQGYAQ24ARjIAQXYAQHoAQH4AQaIAgGoAgS4AsbhwKEGwAIB0gIkODA0ZTFmYTctYTQ4Ny00NDJjLWE5OTUtYTMxNjg5MTY2OTUy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=4ef769e32dfa08e2&srepoch=1680879815&from=searchresults#hotelTmpl,48.60788007,-1.51722372
Hôtel Vert,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel Vert ! L’Hotel Vert vous propose des chambres décorées dans des tons pastel, dotées d’une salle de bains privative, d’une télévision ainsi que d’une connexion Wi-Fi gratuite. Il vous accueille à 2 km de l’île intertidale du Mont Saint-Michel, sur la côte normande.Lors de votre séjour, vous pourrez déguster une cuisine régionale au restaurant du Vert, La salicorne. Vous pourrez également apprécier le bar de l'hôtel, L'Equinoxe, qui s'ouvre sur une terrasse privée.Le Vert Hotel met également à votre disposition une réception ouverte 24h/24 ainsi qu’un parking privé. Vous bénéficierez aussi d’un supermarché et d’une boutique de souvenirs sur place. ",Amiens,"8,0",https://www.booking.com/hotel/fr/vert.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARokQKIAQGYAQ24ARjIAQXYAQHoAQH4AQaIAgGoAgS4AsbhwKEGwAIB0gIkNjgyNDkxNjctOTNhOC00MmU4LTk3NDEtMzg2NDY2NWVkM2U42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e64469e3741f01a0&srepoch=1680879815&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,48.61470049,-1.5096169700000002
Gites Bellevue,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Gites Bellevue ! Situé à seulement 2 km du célèbre Mont-Saint-Michel, l'établissement Gites Bellevue vous propose des gîtes indépendants avec terrasse, jardin et barbecue. La mer se trouve à seulement 10 minutes en voiture.Les gîtes présentent une vue sur le Mont Saint-Michel, un coin salon avec une télévision ainsi qu'un lave-linge. Leur cuisine est équipée d'un four, d'un four micro-ondes et d'une cuisinière.Les épiceries et restaurants sont placés à 7 km du centre-ville de Pontorson et vous pourrez utiliser gratuitement une connexion Wi-Fi et un parking privé. Vous pourrez rejoindre Saint-Malo en 45 minutes en voiture et Avranches se trouve à 25 km de l'établissement. ",Paris,"9,3",https://www.booking.com/hotel/fr/gites-bellevue.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARokQKIAQGYAQ24ARjIAQXYAQHoAQH4AQaIAgGoAgS4AsbhwKEGwAIB0gIkMDUzNWY3MGItMjA4Mi00NTY3LWI0ZjktNmNmZGRjOTNjMTU32AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=427b69e3aa90003d&srepoch=1680879816&from=searchresults#hotelTmpl,48.60788007,-1.51722372
Gites Bellevue,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Gites Bellevue ! Situé à seulement 2 km du célèbre Mont-Saint-Michel, l'établissement Gites Bellevue vous propose des gîtes indépendants avec terrasse, jardin et barbecue. La mer se trouve à seulement 10 minutes en voiture.Les gîtes présentent une vue sur le Mont Saint-Michel, un coin salon avec une télévision ainsi qu'un lave-linge. Leur cuisine est équipée d'un four, d'un four micro-ondes et d'une cuisinière.Les épiceries et restaurants sont placés à 7 km du centre-ville de Pontorson et vous pourrez utiliser gratuitement une connexion Wi-Fi et un parking privé. Vous pourrez rejoindre Saint-Malo en 45 minutes en voiture et Avranches se trouve à 25 km de l'établissement. ",Strasbourg,"9,3",https://www.booking.com/hotel/fr/gites-bellevue.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARokQKIAQGYAQ24ARjIAQXYAQHoAQH4AQaIAgGoAgS4AsjhwKEGwAIB0gIkYmJlNzI1ZjMtYjcwOC00YTc1LThjMWItZTc4YTBmNTNmMThi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=3c9269e428e0002e&srepoch=1680879817&from=searchresults#hotelTmpl,48.60788007,-1.51722372
Chambres d'Hôtes Les Vieilles Digues,"Occupant une maison bretonne restaurée, l'établissement à la gestion familiale Chambres d'Hôtes Les Vieilles Digues est situé à Beauvoir, à 3 km du Mont-Saint-Michel. Doté d'un parc fleuri de 3 000 m², il propose des chambres pourvues de meubles d'époque, d'une connexion Wi-Fi gratiote et d'une salle de bains privative.Toutes les chambres élégantes des Vieilles Digues disposent d'une entrée privée et d'articles de toilette gratuits. Celles du rez-de-chaussée comprennent des portes-fenêtres avec accès direct au patio, doté de chaises longues.Le petit-déjeuner comprend des boissons chaudes, du jus d'orange, des yaourts, du fromage et des céréales. En outre, des baguettes fraîches sont livrées tous les jours par le boulanger local. Les propriétaires sont à votre disposition pour vous recommander de bons restaurants à proximité.Vous pourrez vous promener le long de la rivière Le Couesnon, qui se trouve à 200 mètres des Vieilles Digues. Les villes de Saint-Malo et Cancale sont accessibles en 45 minutes de route, tandis qu la gare de Pontorson est à 5 km. Un parking privé est disponible gratuitement sur place. ",Strasbourg,"9,3",https://www.booking.com/hotel/fr/chambres-d-ha-tes-les-vieilles-digues.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARokQKIAQGYAQ24ARjIAQXYAQHoAQH4AQaIAgGoAgS4AsjhwKEGwAIB0gIkYmJlNzI1ZjMtYjcwOC00YTc1LThjMWItZTc4YTBmNTNmMThi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=3c9269e428e0002e&srepoch=1680879817&from=searchresults#hotelTmpl,48.6041875,-1.51159912
Gites les 2 Clos au pied du Mont,"L'établissement Gites les 2 Clos au pied du Mont propose des hébergements à Ardevon.Toutes les maisons de vacances disposent d'une salle de bains privative, d'une télévision à écran plat, d'une cuisine entièrement équipée et d'une terrasse. Vous pourrez profiter d'une terrasse avec vue sur la mer.Une plancha est fournie.Vous séjournerez à 3,1 km du Mont-Saint-Michel et à 39 km de Saint-Malo. L'aéroport de Saint-Malo-Dinard-Pleurtuit, le plus proche, est implanté à 44 km. ",Strasbourg,"9,0",https://www.booking.com/hotel/fr/les-deux-clos-pontorson.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARokQKIAQGYAQ24ARjIAQXYAQHoAQH4AQaIAgGoAgS4AsjhwKEGwAIB0gIkYmJlNzI1ZjMtYjcwOC00YTc1LThjMWItZTc4YTBmNTNmMThi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=3c9269e428e0002e&srepoch=1680879817&from=searchresults#hotelTmpl,48.6139661,-1.48579173
Mon Saint Michel,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Mon Saint Michel ! Situé à Ardevon, le Mon Saint Michel propose une connexion Wi-Fi gratuite, un service de prêt de vélos, un jardin et une terrasse.Les chambres comprennent une télévision à écran plat ainsi qu'une salle de bains privative pourvue d'articles de toilette gratuits, d'un sèche-cheveux et d'une douche. La cuisine est équipée d'un réfrigérateur, d'un lave-vaisselle, d'un micro-ondes et d'une machine à café.Un petit-déjeuner buffet, à la carte et continental est servi tous les matins.Vous pourrez pratiquer la randonnée à pied et à vélo dans les environs.L'abbaye du Mont-Saint-Michel se trouve à 8,6 km du Mon Saint Michel, tandis que Scriptorial d'Avranches, musee des manuscrits Le Mont-Saint-Michel se trouve à 21 km. L'aéroport le plus proche, celui de Rennes-Saint-Jacques, est situé à 85 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires. ",Strasbourg,"8,7",https://www.booking.com/hotel/fr/mon-saint-michel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgNWARokQKIAQGYAQ24ARjIAQXYAQHoAQH4AQaIAgGoAgS4AsjhwKEGwAIB0gIkYmJlNzI1ZjMtYjcwOC00YTc1LThjMWItZTc4YTBmNTNmMThi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=3c9269e428e0002e&srepoch=1680879817&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,48.613627,-1.4857909999999999
